Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7895773,"MS OFFICE 2021 (OFFICE SUIT SOFTWARE) , ANTIVIRUS QUICK HEAL 10 USER , WINDOWS 11 PRO , MS OFFICE 2024 (OFFICE SUIT SOFTWARE)",MS OFFICE 2024 (OFFICE SUIT SOFTWARE),"Office Productivity Suite Software, Diagramming and Process Modelling Software, Auditorium Chair (V2), High- end Office Furniture Set (V2), AI Productivity Assistant Software, Steel Bookcases conforming to IS 7761 (V2)",Office Suite Software (V3),Antivirus Software,Weak — review,56%
GEM/2026/B/7876715,"PROCUREMENT OF LAPTOP, SMARTPHONE AND SIMILAR DEVICES","Procurement of Laptop, Smartphone & Similar Devices","Single Use Sterile Hypodermic Syringes for Human Use Conforming to IS 10258 (Part 1), Live Remote Temperature and Humidity Monitoring and Alert System",Basic Feature Mobile Phone High End Laptop - Notebook Rugged Notebook - Laptop,Mobile Computer Workstation,Weak — review,53%
GEM/2026/B/7725334,"Printed cloth bags 10 kg , Printed cloth bags 5 kg",Printed cloth bags 5 Kg,"Printed BOPP Laminated HDPE Bags (Woven Sack), Cloth Dryer Stand, 20 Kg Capacity Cotton Cloth Bags for Seed Packing as per NSCL Specifications, Vending Machine - Bags, Rubberized Weight Dumbbells, Jute Bags for Packaging 50 kg Sugar ISI marked to IS 15138, File Folder (V3), Light Weight Jute Sacking Bags for Packing 50 kg foodgrains (V2) ISI marked to IS 16186, Urine Collection Bag - Sterile (Single Use), Hardner HV 9534 + Araldite Resin 5 KG (Hardner K 9)",Cotton Cloth Bag for Seed Packing - Capacity From 0.75 Kg to 12 Kg - National Seeds Corporation Limited,"(HDPE) / (PP) Woven Sacks for Packaging 10 kg, 15 kg, 20 kg, 25 kg and 30 kg Foodgrains ISI marked to IS 16208",Weak — review,68%
GEM/2026/B/7907200,Weighted Vests,Weighted Vests,"Spotting Fluid (Weighted) - ONGC, Chest Press - Outdoor Gym Equipments, ASSAULT VESTS WITH ARMOUR PLATES, Spotting Fluid (Non Weighted) (In Liters), Vests, Cotton, Plain (Single Jersey) Knitted as per IS 4964, High Visability Reflective Vest, Scoured And Bleached Rib Knitted Round Neck Sleeveless And Short Sleeve Vests as per MHA specifications, Flat Gym Bench (V2), LED Diving Torch Light (Diving Instruments or Accessories), Dumbbell Rack (V3)",ASSAULT VESTS WITH ARMOUR PLATES,ASSAULT VESTS WITH ARMOUR PLATES,Weak — review,67%
GEM/2026/B/7837058,Heavy Duty Inflatable Water Diving Boat,Heavy Duty Inflatable Water Diving Boat,Category not available on GeM for the text string uploaded by the buyer,Rigid Inflatable Boat (RIB),Fully Inflatable Boat,Possible match,79%
GEM/2026/B/7891580,Pre-painted galvalume coated steel sheet,Supply of pre-painted galvalume coated steel sheet,"Pre - Painted Aluminum Zinc Alloy Metallic Coated Steel Strip and Sheet (Plain) (V2) as per IS 15965, Classroom Stools, Aluminized steel sheet OR Aluminium Zinc Alloy Metallic Coated Steel Strip And sheet as per IS 15961, Napkin Dispenser",Galvanized Steel Sheets (Plain and Corrugated) (V2) as per IS 277 Aluminized steel sheet OR Aluminium Zinc Alloy Metallic Coated Steel Strip And sheet as per IS 15961 Pre - Painted Aluminum Zinc Alloy Metallic Coated Steel Strip and Sheet (Plain) (V2) as per IS 15965,Pre - Painted Aluminum Zinc Alloy Metallic Coated Steel Strip and Sheet (Plain) (V2) as per IS 15965,Weak — review,61%
GEM/2026/B/7866019,GEARBOX WORMREDUCER ( MAT CODE 225513830),GEARBOX WORMREDUCER ( MAT CODE 225513830 ),Category not available on GeM for the text string uploaded by the buyer,Heat Resistant Alloy Steel and Nickel Base Casting Conforming to IS 4522 Carbon Steel Forgings For General Engineering Purposes- IS:2004 Gear couplings,Wheel Worm,Weak — review,50%
GEM/2026/B/7903075,BARLEY CRUSHED,BARLEY CRUSHED,"BARLEY Seeds, Readymade Bituminous Pothhole Patching Mix as per IS 217 Cutback Bitumen, IS 14982 Anti - Stripping Agent, Crushed Feed Oats, FPO - Barley As Per IS 16520, Linseed Crushed (V2) (Defence), Coarse Aggregate (V2) Conforming to IS 383, Barley Whole (V3) (Defence), Ferro Vanadium for SAIL, Fine Aggregate (V2) Conforming to IS 383, Atta ( )",FPO - Barley As Per IS 16520,BARLEY Seeds,Weak — review,69%
GEM/2026/B/7847235,"Cat. No. 00006350775 Hand Held Search Light, Type - LED 3 Watt","Cat. No. 00006350775 Hand Held Search Light, Type - LED 3 Watt",Hand Held Search Light,Hand Held Search Light as per MHA QRs Field Search Light (MHA) Hand Held Search Light,Hand Held Search Light,Likely match,86%
GEM/2026/B/7484162,Hyperthermic Intraperitoneal Chemotherapy System with Consumables,Hyperthermic Intraperitoneal Chemotherapy System,Category not available on GeM for the text string uploaded by the buyer,Colon Hydrotherapy Equipment Paclitaxel Injection,Colon Hydrotherapy Equipment,Weak — review,40%
GEM/2026/B/7881105,ESSO ANTI RUST COMPOUND,ESSO ANTI RUST COMPOUND,"Anti-Seize Compound, Automated tissue processor, One Part Universal Anti-Corrosive Coating",Anti-Seize Compound,SODIUM COBALTINITRITE,Weak — review,49%
GEM/2026/B/7877057,"HSS M42 TIALN COATED P S M C CHUCKING REAMER TOLERANCE m6 AS PER IS: 5446 DIA: 2.10mm(m6) , HSS M42 TIALN COATED P S M C CHUCKING REAMER TOLERANCE m6 AS PER IS: 5446 DIA: 2.30mm(m6) , HSS M42 TIALN COATED P S M C CHUCKING REAMER TOLERANCE m6 AS PER IS: 5446 DIA: 3.30mm(m6) , HSS M42 TIALN COATED P S M C CHUCKING REAMER TOLERANCE m6 AS PER IS: 5446 DIA: 3.40mm(m6)",HSS M42 TIALN COATED P S M C CHUCKING REAMER TOLERANCE m6 AS PER IS:5446 DIA:3.40mm(m6),"Stainless Steel Threaded Fasteners as per IS 1367(Part 14), Mechanically Woven, Double - Twisted, Hexagonal Wire Mesh Gabions, Revet Mattresses and Rock Fall Netting as per IS 16014, Unplasticized Polyvinyl Chloride (PVC - U) Pipes for Soil and Waste Discharge System as per IS 13592, Handloom Cotton Bed Sheets (V2) as per IS 745, Coat Combat (Field Dress) (IAF), Reinforced Concrete Fence Posts (V2) as per IS 4996, Laboratory Glassware Bottles (Conical Neck Bottles) as per IS 1388 (Part 2)",Bench Pedestal Grinder (V2),Machine Chucking Reamers with Parallel Shanks - IS 5446,Weak — review,56%
GEM/2026/B/7837968,Connect Disconnect Terminal Block,Connect Disconnect Terminal Block,"Terminal Block Assembly - BHEL, Terminal Strip Connectors, Cables, Converters and Adapters, Battery Link Terminal, Banana Sockets and Terminals, Identification Clip for Telecommunication Voice Distribution Module, Electrical Power Connector, Telephone Junction Box",Terminal Block Assembly - BHEL,Terminal Strip Connectors,Weak — review,54%
GEM/2026/B/7876800,"Canon PGI2700XL Black Ink Cartridge , HP CF289X Black Toner Cartridge , HP CE278AC Black Toner Cartridge",HP CE278AC Black Toner Cartridge,"Toner Cartridges Ink Cartridges Consumables for Printers, Consumables for PVC Card Printer, Belt Waist Synthetic (ICK) (IAF), Electrical Extension Box (V4), A3 Size Multifunction Printer (MFP), Computer Printer (V2), A4 and Legal Size Multifunction Printer (MFP), Solar Photovoltaic Water Pumping Systems (V2) as per MNRE Specification",Toner Cartridges Ink Cartridges Consumables for Printers,Toner Cartridges / Ink Cartridges / Consumables for Printers,Weak — review,66%
GEM/2026/B/7872158,BELL GRAB CHAIN FOR RODDING SHOP-2_ 1000075495,BELL GRAB CHAIN FOR RODDING SHOP-2,"Pillar Taps for Water Supply Purpose conforming to IS 1795, High mast pole for national flags (V2)",Carbide Chain Saw,Bell Metal Craft from Bajali - ODOP,Weak — review,53%
GEM/2026/B/7877291,"Epoxy Adhesive DP460, Off-White, 50mL , EPX MIX NOZZLE SQ GD 43MLFOR DP2, 1: 1&2: 1 , EPX PLUS II MANUAL APPLICATOR W2PLUNG",EPX PLUS II MANUAL APPLICATOR W2PLUNG,Category not available on GeM for the text string uploaded by the buyer,Open Endoscopic Clip Applicator (V2),Epoxy Adhesive 9323-2,Weak — review,62%
GEM/2026/B/7858894,DIGITAL OUTPUT CARD,DIGITAL OUTPUT CARD,"Continuous Cardiac Output Monitor, Digital Multimeter, Sensors for Continuous cardiac output monitor, Pressure Sensor, FTA Card, true rms clamp meter, Tent Card, Network Interface Card, Rotary Shaker, PVC Card Printers",Continuous Cardiac Output Monitor,DIGITAL SIGNAL PROCESSING BOARD,Weak — review,60%
GEM/2026/B/7672476,LAPTOP WITH IOS OPERATING SYSTEM,LAPTOP WITH IOS OPERATING SYSTEM,"Operating System Software (V3), Reverse Osmosis based Water Treatment System above 50 LPH Capacity (V2), Uroflowmetry System, Digital Grounding System with Equipment Protection, Revolving Chair (V5), Fume Exhaust System with Scrubber or Fume Hood with Scrubber, Electronic Lectern System, Automatic Milk Collection Unit with Electronic Milk Tester, Elliptical Cross Trainer, Biomedical Waste Treatment System with Shredding and Sterilization as per IS 7494, IS 1762, IS 302 (Part 1)",High End Laptop - Notebook,Rugged Notebook - Laptop,Weak — review,53%
GEM/2026/B/7890846,"INTEGRAL LED MODULE INDICATOR 22.2 MM , INTEGRAL LED MOD. IND. 22.2MM CUTOUT, 110V , INTEGRAL LED INDICATOR, 22.2MM, 11 0V, YELOW","INTEGRAL LED INDICATOR,22.2MM,11 0V,YELOW","LED Flasher Relay, Desk and Bench Set for Classroom Training Area, LED Semaphore Indicators (BHEL), Hydraulic Jacks for Automobiles Conforming to IS 4552 (Part 2), V - Belts - Endless V - Belt for Industrial Purposes as per IS 2494, Digital Temperature Indicator, Cotton Towelling And Towels Conforming To IS 7056 (V4), LED Tube Light (Retrofit Type), Line Interactive UPS with AVR (V2), PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694",LED Flasher Relay,LED Semaphore Indicators (BHEL),Weak — review,51%
GEM/2026/B/7906030,PROOF MACHINED WIDE JAW ADAPTER AS PER DRG NO. 07188801001 REV NO 3,"PROOF MACHINED WIDE JAW ADAPTER AS PER DRG NO. 07188801001,REV NO 3","Bearing (BHEL), GI Grating ( in Number), Roller Bearing (BHEL), GI Grating (in MT), Aluminum Lid - BHEL, Neoprene Rubber Bellow (BHEL), Rivet Nut (BHEL), Rubber Rollers (BHEL)",Hot Forged Steel Rivets for Hot Closing as per IS 1929,Flexible Jaw Coupling,Weak — review,48%
GEM/2026/B/7906423,TAB OMEPRAZOLE 40MG,TAB OMEPRAZOLE 40MG,"OMEPRAZOLE, Nitrile Coated Nitrile Hand Gloves (V2), OMEPRAZOLE + DOMPERIDONE, Tab Washer-IS:8068, Cotton Towelling And Towels Conforming To IS 7056 (V4), Plastic Moulded Table - Preschool Kit, Graphics Tablets (V2), Compostable Bio-Medical Waste Collection Bags (Biohazard Bags) (V3), Modular Table Meeting Table Centre Table (V2), Executive Table (V4)",Rugged Tablet,OMEPRAZOLE,Likely match,69%
GEM/2026/B/7878955,"Procurement of Carbon Brushes for Slip Ring of TG# 6, 7 & 8","Cat. No. 90400522902 Carbon Brush for Slip Ring of TG 6, 7 & 8",Category not available on GeM for the text string uploaded by the buyer,Carbon brushes for motor and generator Covered Electrode for Manual Metal Arc Welding of Carbon and Carbon Manganese Steel (V2) ISI marked to IS 814,Carbon brushes for motor and generator,Weak — review,66%
GEM/2026/B/7847913,"ELECTRICALLY INSULATED HAND GLOVES OF 1000 V AC , ELECTRICALLY INSULATED HAND GLOVES OF 7500 V AC , ELECTRICALLY INSULATED HAND GLOVES OF 17000 V AC",ELECTRICALLY INSULATED HAND GLOVES OF 17000 V AC,Live Working Gloves of Insulating Material (V2) ISI marked to IS 13774,Live Working Gloves of Insulating Material (V2) ISI marked to IS 13774,Thermal Gloves as per Defence specification,Weak — review,62%
GEM/2026/B/7828074,Hand held VHF set with Display_ 3000012212,Hand held VHF set with Display_3000012212,"Digital Hand-held VHF Transceiver as per MHA QR, Digital UHF Hand-Held Radio Sets as per MHA QR (V2), Lithium Battery for Hand Held Radio Set as per MHA QR, Hand Held Metal Detector as per MHA QR, Ni-MH Battery for Hand Held Radio Set as per MHA QR, LTE Enabled VHF Multi-mode Handheld Radio (UP State), Laser Speed Meter (V2), Digital VHF Base Mobile Transceiver Set as per MHA QR, Hand Held Particle Counter, Digital VHF Repeater Set as per MHA QR",Analog Transceiver - Handheld Complete VHF communication system for airports (AAI) Digital Hand-held VHF Transceiver as per MHA QR,VHF Handheld Air Band Transceiver,Weak — review,61%
GEM/2026/B/7905241,VEGAPULS 6X,VEGAPULS 6X,"Cleaning Duster (V3), Laser Range Finder, Dry Erase Writing Boards (V3), File Folder (V3), Cotton Towelling And Towels Conforming To IS 7056 (V4), Sheeting, Tickings and Bedsheets (V2) as per IS 175, Pin Up Notice Board (V2), Shaker Incubator, Towel Hand Cotton Turkish (IAF), water baths",Cleaning Duster (V3),FPO - Hazelnut,Weak — review,38%
GEM/2026/B/7439793,MICS CABG Set,MICS CABG Set,"Dystocia Set, Sofa (V3), Blood Administration Set (V2), Role and Pretend Play Toys (V2), Diesel Power Generator (up to 900 KVA), Artificial Teeth Set, Yankauer Suction Set, Desk and Bench Set for Classroom Training Area, Pool Ball set, Flexible Intracardiac Suction Tube (V2)",Cardiopulmonary Bypass Connectors (V2) Heart Lung Machine,Wired Microphone (V2),Weak — review,49%
GEM/2026/B/7739184,"KIT COMPLETE OVERHAUL 251 PART NO. 70242490AS01 , VALVE SAFETY 1 4 NPT X 38.5 KG CM2, PART NO. - 70239793 , VALVE SAFETY 1 2 NPT X 23.5 KG CM2, PART NO. - 70239801 , VALVE SAFETY 1 4 160PSIG INTERCOOLER, PART NO. - 97148110","VALVE SAFETY 1 4 160PSIG INTERCOOLER, PART NO.- 97148110",Category not available on GeM for the text string uploaded by the buyer,Screw Compressor,Pressure Safety Valve,Weak — review,52%
GEM/2026/B/7795603,Computer,computer,"Computer Motherboards, High End Desktop Computer, Computer Processors, Computer Keyboards, Entry and Mid Level Desktop Computer, Computer Mouse, Computer Table (V3), Computer Monitor (V2), Computer Printer (V2), Fixed Computer Workstation",Computer Monitor (V2),Computer Processors,Weak — review,54%
GEM/2026/B/7922637,Ballistics Weather Meter,Ballistics Weather Meter,"Compact Weather Station, true rms clamp meter, Pocket Weather Tracker, Mask Face, Extreme Cold Weather (Defence), digital conductivity meter, Frequency meter - Analog (Panel Meter), Turbidity meter, Digital pH Meter, Static meter, Extreme Cold Weather Clothing System (Version 2) - DRDO",Compact Weather Station,"Meteorology - Rain Gauge, Non - Recording as per IS 5225",Weak — review,53%
GEM/2026/B/7922654,VR Goggles,Virtual Reality Goggles,"Virtual Reality Headset, Chemical Splash Proof Goggle, Virtual Reality Welding Simulator, Virtual Reality Based Vestibular Rehabilitation Module, Protective Eye Goggles (MHA), Diplopia Goggles, Swimming Goggles, Safety Goggles Medical (V2), Snow Goggles (Defence), Goggles (All Terrains) (Defence)",ballistic goggles,Safety Goggles Medical (V2),Weak — review,72%
GEM/2026/B/7922661,FPV Training Drone with Camera 4K,FPV Training Drone with Camera 4K,"Surveillance Drone Unmanned Aerial Vehicle (V2), Drone or Unmanned Aerial Vehicle with Customized Payload, Small UAV for ISR Purpose (80 Minute Endurance) as per MHA QRs, Drone or Unmanned Aerial Vehicle with Customized Payload (Defence Forces - Navy, Army and Air Force), GPS Training System For Educational Purpose",Surveillance Drone Unmanned Aerial Vehicle (V2),Surveillance Drone / Unmanned Aerial Vehicle (V2),Weak — review,49%
GEM/2026/B/7863780,C28M26R201 - 8847620014 - SILICONE FLUID,Anti-Foam Silicone Fluid,"Silicone Oil, Electrostatic Discharge Chairs (V2), Silicone sealant, Antimicrobial Dressing (V2), Foam Tape, Foam Dressing, Silicone Gel Sheet (V2), Automatic Transmission Fluid, WBC Diluting Fluid (V2), Spotting Fluid (Weighted) - ONGC",Silicone Oil,Silicone sealant,Weak — review,59%
GEM/2026/B/7853161,Vacuum Cleaner (80 Ltr),Vacuum Cleaner (80 Ltr),"industrial vacuum cleaner, Quaternary Ammonium Compound based Surface Cleaner (liquid) (V2) conforming to IS 14364",industrial vacuum cleaner,industrial vacuum cleaner,Possible match,76%
GEM/2026/B/7815575,Emerson make PLC system,Emerson make PLC system,PLC based fire alarm system,Programmable Logic Controller (PLC),Programmable Logic Controller (PLC),Weak — review,68%
GEM/2026/B/7814962,SUPPLY OF COTTON CLOTH WASTE,Cotton Cloth Waste,"Cotton Pugree cloth (UP), Cleaning Duster (V3), Long Cloth Made Of Cotton, Manmade Fibres And Their Blends Conforming To IS 187, Markin Cloth (V2), Cloth Cotton Pagri- IAF Specification, Twill Weave Cotton Fabrics Cloth Cotton Drill as per IS 177:1989, Foot Operated Pedal Bin or Bucket for Bio - Medical Waste Collection, Cloth Plain Weave Polyester and Cotton - Uniform Cloth (Defence), Cloth Pouches, Cotton Towelling And Towels Conforming To IS 7056 (V4)",Cotton Yarn Waste (V2) as per IS 5485,Cotton Yarn Waste (V2) as per IS 5485,Weak — review,65%
GEM/2026/B/7722776,"16 GB RAM , 1 TB SSD HARD DISK",1 TB SSD HARD DISK,"Hard Disk Crusher, Surveillance Hard Disk (V2), Internal Storage Device (SSD HDD) (V2), USB Type External Solid State Drive Capacity Greater Than 256 GB (V2), USB Type External Hard Disk Drive (V3), Encrypted Removable Storage Devices (V2), Hardware Forensic Imagers and Evidence Acquisition Kits, Deep Freezer Marked to IS 7872 (Under BIS Scheme 1) (V2), Endoscopy transport trolley, Shore Hardness Tester",Internal Storage Device (SSD HDD),USB Type External Solid State Drive Capacity Up To And Including 256 GB (V2),Weak — review,42%
GEM/2026/B/7767333,IAC SUCTION VALVE PLATE,SUCTION VALVE PLATE,"Suction Tube, Closed Suction Set (V2), Laparoscopic Suction and Irrigation Cannula, Portable Suction Machine (V2), Manual Suction Unit (V2), Suction Cannula (V2), Needle Valve, modular electrical enclosure switch board boxes for modular type accessories, Flexible Intracardiac Suction Tube (V2), Suction Catheters (V2)",Directional Control Valve Sequence valve Suction Tube,Manual Suction Unit (V2),Weak — review,54%
GEM/2026/B/7900781,Microsoft Window 11 Pro 24H2,Microsost window 11 24H2,"Fixed Computer Workstation, Dharapathy With Tiltable Steel Table (Ayurvedic Treatment Table) For Panchakarma, Correspondence Envelopes (V3) Conforming to IS 13892, Roller Blind (V2), shoes school pvc boys girls, FRP SECURITY CABIN, Extendable Road Barricade (V2), Flood Light Luminaire suitable for HPSV Lamps, Hydraulic Torque Wrench Set, Reciprocating Air Compressors - Electric Motor Driven",Enterprise Remote Access and Support Software,Computer Monitor (V2),Weak — review,38%
GEM/2026/B/7900823,Rechargeable Electric Pedal Assisted utility Bicycle,Rechargeable Electric Pedal Assisted utility Bicycle,Category not available on GeM for the text string uploaded by the buyer,Electric Bicycle (V2),Electric Bicycle (V2),Weak — review,72%
GEM/2026/B/7817623,Sako Sniper Sight,Sako Sniper Sight,"Holographic Reflex Sight (MHA), Posterior Chamber Intraocular Lens (PCIOL), Night Sight of an Assualt Rifle (MHA), Thermal Weapon Sight as per MHA QR (V2)",Night Sight of an Assualt Rifle (MHA),Spotting Scope,Weak — review,53%
GEM/2026/B/7856800,Microsoft windows 11 Pro 25H2,Microsoft Windows 11 Pro 25H2,"Low Voltage Surge Protective Devices Connected to Low Voltage Power Systems Conforming To IS 16463 (Part 11), Fixed Computer Workstation, Cloud Email Security and Anti- Phishing Platform, Operating System Software (V3), Actuarial Modelling and Valuation Software, Correspondence Envelopes (V3) Conforming to IS 13892, Biological Indicators For Dry Heat Sterilization Processes Conforming to IS ISO 11138 (Part 4), Electrical Sleeves Conforming To IS 11654 (Part 3 Sec 403), shoes school pvc boys girls, Foley's Rubber Catheter (for Prolonged Urinary Drainage) Conforming to IS 11497",Cloud Email Security and Anti-Phishing Platform,Tablet Computer (V2),Weak — review,40%
GEM/2026/B/7877510,LACTITOL MONOHYDRATE SOLUTION,LACTITOL MONOHYDRATE SOLUTION,"Sodium perchlorate monohydrate, Toner Cartridges Ink Cartridges Consumables for Printers, 1,10 Phenanthroline monohydrate, Citric Acid, Monohydrate as per IS 5464, Lithium sulfate monohydrate, Citric Acid Monohydrate (ONGC), Potassium Oxalate, Ammonium Oxalate Monohydrate (V2), Foldable Wheelchair (Adult), Lithium Hydroxide Monohydrate (V2)",Ayurvedic Classical Medicines - Avaleha and Pak,Lactulose Oral Liquid,Weak — review,64%
GEM/2026/B/7877385,ACECLOFENAC 100MG+ SERRATIOPEPTIDASE 15MG+ PARACETAMOL ACETAMINOPHEN 325MG,ACECLOFENAC 100MG+SERRATIOPEPTIDASE 15MG+PARACETAMOL ACETAMINOPHEN 325MG,"ACECLOFENAC + PARACETAMOL, Micro Semi- Micro Analytical weighing balance, Laboratory Vials (V2), ACECLOFENAC, COD (Chemical Oxygen Demand) Analyzer (Closed Reflux), RCC Guard stone Type B (Cement or concrete posts), PARACETAMOL + IBUPROFEN, Polycarbonate Lathi, Proteinase K, Galvanized Steel Chain Link Fence Fabric (V2) conforming to IS 2721",Tablet Computer (V2),ACECLOFENAC + PARACETAMOL,Weak — review,74%
GEM/2026/B/7873069,Vaccum Breaker,Vaccum Breaker,"Glass Ampoule Breaker, Speed Breaker (V2), 72.5 kV SF6 Circuit Breaker Conforming To IS IEC 62271 (Part 100) (V2), Moulded Case Circuit Breakers (MCCB) Conforming To IS IEC 60947 (Part 2), SF6 Circuit Breaker, 145 kV, Motor Protection Circuit Breaker (MPCB), Miniature Circuit Breakers (MCB) for AC Operation Marked To IS IEC 60898 (Part 1), Circuit Breaker Analyzer (Power Grid), Residual Current Operated Circuit Breakers (RCCB) without Integral Overcurrent Protection ISI Marked To IS 12640 (Part 1), Air Circuit Breaker Conforming To IS IEC 60947 (Part 2)",BUZZER SWITCH,Speed Breaker (V3),Weak — review,60%
GEM/2026/B/7837768,SINDANYO BLOCK,SINDANYO BLOCK,"Wooden block, Self Priming Pump Conforming To IS 5120, Calibration Block, Wrap Block (Textile), Commercial Idli Steamer, Dry Block Heater, Hand - Operated Chain Pulley Block (V2) as per IS 3832, Plummer Block Assembly, Terminal Block Assembly - BHEL, Wooden Podium",Brake Blocks,Ondansetron Tablet,Weak — review,49%
GEM/2026/B/7889471,"ANODE LEAD 8% ANTIMONY 24"" X4"" WITH 12"" HOOK","ANODE LEAD 8% ANTIMONY 24"" X4"" WITH 12"" HOOK","traffic signs - bilinker light, Fasteners - Single Coil Rectangular Section Spring Lock Washers as per IS 3063, Video Recorder for CCTV System (V2), Spit Bin",Spit Bin,Antimony Trioxide,Weak — review,43%
